0,1,2,3,4
"Size correct, colour wrong ",3.0, 3 Feb. 2014 ," By
    
    KarrieGFL
  
 on 3 Feb. 2014 ", I've always found the colour of k2 beads to be accurate. The colour shown is more likely to be described as amethyst on the site. What I have is bright red - luckily I don't mind & the quality is good for acrylic beads. 
Poor quality ,3.0, 28 Aug. 2015 ," By
    
    Mr Howie
  
 on 28 Aug. 2015 "," My daughter really liked the look of this one, having done others. However the quality is very poor with the two polystyrene half moulds not glued together squarely, resulting in the front and back being out of line by about 5mm. "
Clip earrings with ear nut ,3.0, 21 Feb. 2013 ," By
    
    Carrie
  
 on 21 Feb. 2013 ", Great idea but what do you do with the metal wire which sticks out the back?  I have bent it back but it looks a bit Heath Robinson.  Won't be using these again😞 
Small red beads ,3.0, 15 July 2012 ," By
    
    Frogman
  
 on 15 July 2012 ", Yes the Hama phenomenon. These are not the cheapest but my daughter was whining so I bought them late one night. These and their other coloured cousins keep her busy for hours. There are other non-Amazon retailers who sell them 30% cheaper and give you some of the new funky colours but it could take you a while to find them.These are the red ones and they bond when ironed as expected. They arrived quickly from Cheaper than Catalogues but I noticed the price has gone up by 15% since my order.Don't feed them to pets. 
"Excellent, except one of the sticks is defective ",3.0, 5 Jan. 2014 ," By
    
    AlfredtheDuck
  
 on 5 Jan. 2014 "," My three year old daughter loves this toy and I love it too because the beads and all the other items in the high quality box are not likely to choke my 1 year old son. It's also wonderful to have a set which includes example lacing sequences for my daughter to follow, a bit more of a challenge than simply lacing in any order at all.However, there's one big problem with the product I received...the box contains three sticks (a bit like knitting needles) which can be used for lacing onto something like a rod. One of the three sticks we received is too wide to fit into the hole in the stand. So it's completely useless. My daughter can only use two of the three sticks, which means that the game is over much more quickly.  Very disappointing.Amazon issued me a 20% refund, which I feel is less than we are due as the product is 33% defective.A great toy, but defective. "
I have had these stickers before but they have never ... ,3.0, 14 Mar. 2015 ," By
    
    Mrs. B. J. Davis
  
 on 14 Mar. 2015 "," I have had these stickers before but they have never been folded before, very unhappy about this as it meant I had to put heavy objects on them to try and flatten them. "
A fatal flaw in this product ,3.0, 31 Mar. 2016 ," By
    
    .
  
 on 31 Mar. 2016 "," I previously bought this product for a new home banner and rated it 5* because it was awesome and didn't hesitate to buy it again for a birthday celebration but quickly realised that there is a fatal flaw in this product so am re reviewing at a 3*Product is great and looks great BUT (and it's a big BUT) there are only 2 letter Y's in the box!!!!! Eek!!!!Now, if you are going to buy a banner, I'm going to go out on a limb and say the word HAPPY is going to be in there somewhere. There goes one of your Y's. If it's a birthday then DISASTER!!! Birthday ends in a... Yep a Y!! You now have no letter Y's yet so Yvonne sorry you don't get a personalised banner, Ryan? Unfortunately you too! Emily, Jayne, and Mary - yep you guessed it - your personalised banner is doomed!!!Our celebration was for a Mandy - I tried to fashion some Y's out of left over V's (an artist I am not!) and even contemplated using an IE for comedy value but didn't want to be ""that guy"". luckily we all call her Mand so I had to stick with that! But there's nothing worse than abbreviated names on a personalised gift!Hope the makers of the product read this - stop being stingy with the Y's!!!! "
They aren't as sticky as I'd like - I put them on the fridge and on ... ,3.0, 7 Jan. 2016 ," By
    
    Tracey Martin
  
 on 7 Jan. 2016 "," They aren't as sticky as I'd like - I put them on the fridge and on some books, and they've not stayed on. Ok for sticking onto plastic though "
Nice card but.... ,3.0, 17 Dec. 2014 ," By
    
    Island Girl
  
 on 17 Dec. 2014 "," This card is v good quality, nice and thick.  However I've only given it 3 stars because it doesn't go through the printer v well at all.  Whilst it prints colours okay, because of its thickness the rollers have trouble gripping it so it slips which means all my designs come out completely in the wrong place (i.e. too near the edge or sometimes off the page).  I've used 300gsm hammered card before with no problems but I'm guessing this one must have some coating on it that my printer doesn't like.  Shame, because it is really good quality card.  If you're using it to fold and embellish, rather than print on, then it would be perfect. "
Three Stars ,3.0, 4 Dec. 2015 ," By
    
    Amazon Customer
  
 on 4 Dec. 2015 "," Colours are not same as seen on the pic. Below picture says it all.If only, it could be as vibrant as the image in the box. "
"some shades a bit odd, however a real improvement on white paper. ",3.0, 28 May 2015 ," By
    
    Subaru
  
 on 28 May 2015 "," Some of the shades are a bit strange, could do with a very pale colour and a very darker brown which is not actually black. "
Great Gizmos Keyboard Stickers ,3.0, 30 Nov. 2014 ," By
    
    Mr Keith
  
 on 30 Nov. 2014 ", All seemed well at first but then my 4year old had peeled them all off within minutes and stuck them all over the house.....I'd say they are good for keyboards that young children don't have access too ! 
Three Stars ,3.0, 23 July 2015 ," By
    
    scrapbook
  
 on 23 July 2015 ", really good stickers for scrapbboking but there should be more variety so i kinda regretted buying it 
Fun for 30 mins ,3.0, 3 Jan. 2014 ," By
    
    Mummy of 2 girls
  
 on 3 Jan. 2014 "," My daughter had fun with this but there wasn't enough stickers, all done in 30 mins then run out of stickers but still plenty of gel left , not cheap for just 30 mins of fun !!! "
"Not much staying power, sadly. ",3.0, 27 July 2014 ," By
    
    Katharine Kirby
  
TOP 500 REVIEWERVINE VOICE on 27 July 2014 "," My four year old cabin boy pirate grandson was staying for the night and in the morning I left  it out and found him unusually quiet and engaged with the project. He spent over an hour humming happily to himself as he decorated both sides of the card scenes. He dressed and undressed the pirates, sent them off to the desert island, manned the pirate ship against raiders and really enjoyed the fun to be had.Later on when his cousin arrived, he proudly showed the scenes to him, then there was more fiddling and placing the figures. By lunchtime the set was exasperating, they 'res useable stickers' would not stay on, they fell off the board and generally misbehaved. What a shame.I was going to compare this set to the old fashioned fuzzy felt scenes I used to  play with, and so you'd think a modern version would be new and improved. However - this set is purely a couple of plays and in the bin, an ideal stocking filler to keep a three or four year old amused for a spell but no more.A lot of thought has gone into the art work and design, the jolly colours are really attractive and appealing, they just didn't give much thought to the sticky stuff! "
Ok for a toddler ,3.0, 20 Dec. 2013 ," By
    
    lovemyboys
  
 on 20 Dec. 2013 "," These stickers are very basic, just a shape really which resembled a form of transport. I bought these for my 1 and a half year old to play with on our flight and he liked them and enjoyed guessing the shapes and colours. They are fine for the price. "
value for money ,3.0, 6 July 2015 ," By
    
    GEOFF BAYLIFF
  
 on 6 July 2015 "," for the price there ok, purchased for a kids water party half have fallen apart but for the price and quantity I would purchase again. "
There isn't leg holes either like I thought there would be - that turned out ... ,3.0, 1 July 2015 ," By
    
    Kt23
  
 on 1 July 2015 "," This is in no way big enough for my just turned 3 year old (he got it for his 3rd birthday) I'd say more around 2 years old. The sun shade doesn't stay up either, it flops down on his head. There isn't leg holes either like I thought there would be - that turned out to be better for him though. "
"Great, but half were broken! ",3.0, 6 Jun. 2015 ," By
    
    Dan
  
 on 6 Jun. 2015 "," Brilliant fun for all the kids, but a shame that 1/2 of them were broken! "
Not Bad ,3.0, 16 Aug. 2010 ," By
    
    anono
  
 on 16 Aug. 2010 "," Gelli Baff is not bad. I got it for my 2 young children and they loved it. It turns the water into a watery goo and then you add the ""goo dissolver"" and it turns the goo into a coloured water. I would recomend that you were a swimming costume when using this product. "
Good but poor quality ,3.0, 18 Jun. 2014 ," By
    
    John
  
 on 18 Jun. 2014 ", The product arrived with 3 air holes in need of repair and they can be really hard to find. We decided to send it back but the we thought lets fix it. Kids all like it but this a product that in my opinion you get what you pay for. When we found and repaired the holes the kids had fun.It is a great pool and fun. 
"Great, but half were broken - quality should be checked ",3.0, 6 Jun. 2015 ," By
    
    Dan
  
 on 6 Jun. 2015 "," Brilliant fun for all the kids, but a shame that 1/2 of them were broken! "
Well kept the kids amused for a few days. ... ,3.0, 16 Aug. 2014 ," By
    
    lesle amin
  
 on 16 Aug. 2014 ", Well kept the kids amused for a few days..first time we used it the flaps that the slide are held to the ground with split at bumper end. On day 3 the bumper is almost off detatched. Not stopped kids playing thankfully.definitely not for older kids !! 
Does the job! ,3.0, 4 July 2013 ," By
    
    Carol F
  
 on 4 July 2013 "," Good size, sturdy, comes with a patch if we do get a leak but survived so far without it. Only criticism is that there is no way to get the water out without using a bucket (or a strong man to turn it over! "
over priced ,3.0, 2 Jun. 2013 ," By
    
    Amazon Customer
  
 on 2 Jun. 2013 ", I think for what you pay the quality isnt good at all. Over priced. Would not recommend.  it is a good fireman sam look alike though 
the yellow head thing doesn't stay on and the gloves were far to big for my 5 yo but he loves the suit and we've had lots of fun ,3.0, 2 Oct. 2015 ," By
    
    Miss E m Jones
  
 on 2 Oct. 2015 "," The goggles broke almost instantly, the yellow head thing doesn't stay on and the gloves were far to big for my 5 yo but he loves the suit and we've had lots of fun facepainting him instead. "
Size issues ,3.0, 20 Jan. 2014 ," By
    
    Jane Allen
  
 on 20 Jan. 2014 "," Excellent response by the company, however the costume was much smaller than advertised.  For example my son is a small 6 year old, the costume was size 7-8, and yet was tight on my son, same fit as his other costumes size 4-5.  If I had known I would have ordered a much bigger one. "
"Not authentic, but good fun ",3.0, 2 Nov. 2013 ," By
    
    anna simmonds
  
 on 2 Nov. 2013 ", I didn't use too many of these transfer as they looked too fake. But they were easy to apply and stuck well. Good fun for kids. 
Three Stars ,3.0, 22 Oct. 2015 ," By
    
    G Robertson
  
 on 22 Oct. 2015 ", a bit thin 
Temp Tattoo ,3.0, 14 April 2014 ," By
    
    Sarah Greatorex
  
 on 14 April 2014 "," As soon as this was delivered to my home I went straight to the sink to apply it. They're really simple to apply but as you'd expect some parts of the tattoo rub or wash off your skin easily so be careful. Also if you do place it somewhere for example your wrist, if you then bend your wrist it will stretch the skin distorting the temporary tattoo, so you have to watch out for these things to make it last longer! I loved the this temp tattoo though and ended up buying a lot more, it's a great price for a great temporary tattoo! "
Okay as a gimic ,3.0, 7 Mar. 2016 ," By
    
    InTheDark1
  
 on 7 Mar. 2016 "," I bought these as a bit of fun to wear as part of a ""Sons of Anarchy"" fancy dress theme.  The Tattoo stockings are actually quite short in length and don't quite reach wrist to shoulder as I would have preferred and reach just above my bicep.  The designs themselves are quite varied and look good.  Another thing to bear in mind is that the stockings themselves are quite light coloured so good for light coloured skin.  If you have darker skin or hairy arms, these do look a bid odd. "
Fun and colourful ,3.0, 4 Jan. 2014 ," By
    
    Gemma Farrow
  
 on 4 Jan. 2014 "," A short hit of fun for the kids, but not many in the pack considering the price. Though they were long lasting once on the skin. "
hard to remove ,3.0, 2 Oct. 2013 ," By
    
    Amazon Customer
  
 on 2 Oct. 2013 "," daughter loved them, however they took a long time to come off , would of given more stars if i dint have to scrub my daugters arm off "
Not a total success ,3.0, 9 Feb. 2014 ," By
    
    Charlie Daz
  
 on 9 Feb. 2014 "," I recently lost a collar stud and, despite searching high and low, was unable to ascertain its whereabouts. The advice from my dear lady wife, Mrs Daz, was that I should try looking harder. Having noticed that the more ferocious looking denizens of Penge are liberally adorned in tattoos, I decided to purchase this product. Once wearing them, I did indeed look much harder. I have not, however, been able to locate the aforementioned collar stud. Additionally, my somewhat proletarian appearance has led to my being banned from lodge meetings at the North Penge Masonic Temple. "
Almost as good as expected but with its drawbacks. ,3.0, 11 Jun. 2014 ," By
    
    Hannah Gray
  
 on 11 Jun. 2014 "," Ok so the kit itself is absolutley tiny, i thought it would be the same size as my facepainting kit - how wrong i was!! The brushes are useless so i use cotton buds instead, the stencils that are words or have tiny details tear and little pieces get stuck to the skin, however the glitter is of great quality and the larger stencils work fine! Can be reused but removing previous glue and glitter is a nightmare so using same colour scheme is great.Overall it did do what it says on the tin but generally not great quality - i wanted this for my party business its safe to say ill be buying a better quality one as this will probably only last 2/3 parties "
Disappointed ,3.0, 14 Nov. 2012 ," By
    
    Jaxylaxy
  
 on 14 Nov. 2012 ", Bought this as a Christmas stocking filler for my Moshi mad daughter at the same time purchasing Ben 10 tattoos for my son. Although both items similar in price the quantity and quality of these in comparison was poor. 
Great ,3.0, 13 Dec. 2014 ," By
    
    Mrs Emma Magill
  
 on 13 Dec. 2014 "," These were great for my 3 year old son's superman birthday party. Good variety of designs and sizes. Easy to put on, but they do tend to start to rub off quite quickly once applied. Worth the few pounds they cost for the look on his face when he put them on! Removal is a pain as you need surgical spirit which I had to buy especially. "
Very small ,3.0, 9 Jan. 2013 ," By
    
    AMANDA MCDONALD
  
 on 9 Jan. 2013 "," My son was really disappointed with this, very small and the cars fall off after the loop. He does love the fact it is mario "
its ok ,3.0, 29 Dec. 2012 ," By
    
    lulu82
  
 on 29 Dec. 2012 ", I pretty much got what I paid for plastic a bit cheap and probably wont last very long but was not expensive so can't ask for much more 
OK for multi lane tracks ,3.0, 20 Jun. 2013 ," By
    
    Mr. Malcolm R. Bates
  
 on 20 Jun. 2013 ", I bought these in error so did not do what I expected.However the design of them is to attach two sections of track together as we did in pre digital days for 4 or 6 lane tracks.I found knocking the pins in a real pain as you need to use a narrow punch to go between the flanges of the clip. Gets tricky leaning over a large layout doing this. 
Great idea to add to a hot wheels track ,3.0, 14 Mar. 2015 ," By
    
    Ruth Downing
  
 on 14 Mar. 2015 "," Great idea to add to a hot wheels track, my boy spends lots of time analysing the car times ( not sure how accurate they are!) a bit pricey, so only three stars, keep an eye out in home bargains as I've seen this for £5! "
Annoyingly you only get one guide but multiple plates. ... ,3.0, 17 Jan. 2015 ," By
    
    Gaza
  
 on 17 Jan. 2015 ", Annoyingly you only get one guide but multiple plates. I need one blade and wanted another as a spare but would have had to order 2 packs and would have ended up with more plates than I need. 
Not a brilliant Scalextric car ,3.0, 25 Sept. 2014 ," By
    
    Dr. Paul Ell
  
HALL OF FAMETOP 500 REVIEWERVINE VOICE on 25 Sept. 2014 "," Disappointing. This 1:32 slot car lacks almost any detail making it a rather poor plastic model. Most of the paint detail on the car come in the form of a sheet of stickers which have to be attached at home. I’m not sure why Scalextric don’t do this themselves as some are pretty fiddly to fix to the car - and without the aid of pictures with the exception of those on the box it’s not clear where most of them go.More importantly, the Amazon description is incorrect. This car is not Digital Plug Ready. Part of the confusion may arise as Scalextric have a ‘Car Features Icon Guide’ on the side of the box which lists many features which can come with a Scalextric car - including DPR, working front lights, working rear lights etc. This does not mean this model comes with those. To establish that you have to look as the icons displayed on the front of the box.In use the car, as the ‘lightning’ moniker suggests, is fast. Largely that’s because it’s very light indeed. As a result it leaves the track with ease.Overall not one of Scalextric best efforts. Three stars…just. "
"gets lost very easily, will be glued on when found ",3.0, 20 Jan. 2016 ," By
    
    kd40
  
 on 20 Jan. 2016 "," OK, but just a bit of plastic placed on the front of normal salty, gets lost very easily, will be glued on when found! "
ok.. ,3.0, 27 Feb. 2016 ," By
    
    stewart
  
 on 27 Feb. 2016 ", Did not increase the range but for the price they work well..fit onto walkera 250 runner  and my fat shark fpv goggles with no issues.. 
Rather heavy ,3.0, 23 Feb. 2016 ," By
    
    Ian Stark
  
 on 23 Feb. 2016 "," Great idea and very convenient being able to snap them on and off easily. However, I'm concerned they are rather heavy. They're twice the weight of DJI's own brand prop guards and I think they are affecting flight characteristics (and hence battery life). More testing needed but initial impressions have raised some doubts. "
Defo good value for money ,3.0, 22 Mar. 2016 ," By
    
    yzf1070
  
 on 22 Mar. 2016 "," Great value for sure, did consider balancing them but didn't bother in the end and noticed no difference at all over originals in flight. For sure they do not feel as good quality as DJI originals but what the hell if they perform as well for a fraction ov the cost. By the way I also have a set of DJI carbon originals... now thwy are quality and strong.... but cost way more thsn these. "
?Park Fly type Aircraft Transmitter? ,3.0, 17 Feb. 2016 ," By
    
    SilverBack
  
 on 17 Feb. 2016 "," ?Park Fly type Aircraft Transmitter? Surface models(Cars. Boats etc.)!.,The first example I received. Purchased new from another reputable online retailer would not Bind to the included Spektrum AR610 Receiver and was replaced as a Defective/Faulty transmitter unit. As this was intended to fly with Outdoor Model Aircraft at my local club. Which for general safety reasons and B.M.F.A. rules and recommendations. only allow use of Full Range transmitters by club members. The second transmitter seems to be working OK and will Bind without problems and can be used with Third-Party receivers in addition to Spektrum units "
battery ,3.0, 14 Oct. 2011 ," By
    
    Mr. P. R. Garton
  
 on 14 Oct. 2011 "," Item arrived  promptly,  The battery has good current rating at 600mAh for driving heavy duty consumption products. The package size is convenient for the 9.6 volt Ni-Cad supply when used in portable devices. "
fixing my old clock ,3.0, 12 July 2010 ," By
    
    Dmd Goetz-austin
  
 on 12 July 2010 "," as there are so many different types of clockmovements I took a bit of a risk ordering online. As I thought, the movement didnt fit my clockface. the diameter of the shaft was too big. And my old hands didnt fit either. But delivery of this product was speedy and refund wasnt a problem either. "
"Fantastic Minifigures, Awesome Play Value, Rubbish Build. ",3.0, 1 Mar. 2016 ," By
    
    Mr. Ba Corbett-mills
  
 on 1 Mar. 2016 "," As a LEGO and DC fan I often pick up the full range of sets (If I can afford them) and it's great to see a cheap support set for the Batman V Superman: Dawn of Justice movie. However, this set doesn't really stand true to the quality I've come to expect even from these smaller sets where there are obviously limitations on the designer.I feel a good effort has been made to create a scene from the movie and some great play features have been incorporated, but that for all intents and purposes this is a very loosely put together mash of bricks. It feels like something a child would make themselves when trying to recreate said scene - which of course is cool for kids and does encourage expansion of the scene in play.On the other hand, you do get two excellent minifigures, armored Batman is fantastic and although it's a shape the 'armor' section covers some really intricate detailing on the figures torso he looks awesome overall. As a plus the glowing elements used on the head are great and really represent the armored suit so well. Superman is fairly standard but it's great to see both main characters from the movie in such an easy to purchase set.Overall this is worth picking up for the minifigures alone, but don't expect an exciting build or an awesome display item as it doesn't hold up so much on that end. Buying for kids though, then this will be a winner as the play value is huge! "
Three Stars ,3.0, 18 Jan. 2015 ," By
    
    Jo Bates
  
 on 18 Jan. 2015 ", Once built it wasn't very stable so we had to glue it together 
As far as I can see all the pieces are ... ,3.0, 19 Feb. 2016 ," By
    
    Terry
  
 on 19 Feb. 2016 ", As far as I can see all the pieces are there only problem is the instructions don't match up 
OK booster pack ,3.0, 23 Sept. 2014 ," By
    
    Elsie
  
 on 23 Sept. 2014 "," ""I like the booster packs, this particular one wasn't amazing, but they have zero control over what is in them""! was the verdict of the son who bought them "
Worth Buying For The Pictures Alone (As Ever) ,4.0, 6 April 2014 ," By
    
    Copnovelist
  
 on 6 April 2014 "," Part of the magic for me growing up as a boy was to buy (or be given) the new Hornby catalogue every year, even if it included 90% of the same products as the previous year.  I've still got my old ones dating back to the 70s and 80s somewhere.  These days the catalogue is especially informative in that it tells you the vintage of the rolling stock which is useful if you are dedicating your railway to one particular era and train company. "
Four Stars ,4.0, 18 Dec. 2015 ," By
    
    kenneth bell
  
 on 18 Dec. 2015 ", Very happy with the communication with funkybuys 
Chuggers are go! ,4.0, 11 Jan. 2011 ," By
    
    J. Negus
  
 on 11 Jan. 2011 ", We bought this (and 2 others)for our grandsons and they love them. They now have about 7 and it can get a bit noisy if they decide to press the buttons on all of them at once. they are only 3 and 18 months at the moment and don't play unsupervised! 
As expected ,4.0, 23 Nov. 2013 ," By
    
    s fisher
  
 on 23 Nov. 2013 ", The product is as expected.  The only worry is it looks like the connections will easily break - not robust 
Four Stars ,4.0, 17 April 2014 ," By
    
    Trevor J. Maytum
  
 on 17 April 2014 ", Lovely quality from Kato.
Olympic Gold ,4.0, 26 Feb. 2013 ," By
    
    A. J. F. Phillips
  
 on 26 Feb. 2013 "," Have to say that this is a lovely item,if a tad expensive,but still a little gem.I managed to get mine at a bargain price,but if you can too then it is well worth having.My biggest incentive in buying this was to be able to add two extra wooden/teak ex-LNER coaches to the three I already have from the Rare Bird set from the Barry J Freeman range.Those three teaks are very difficult to add to,due to most coaches being LNER & not BR.This set means you can have a rake of five!The detail on them is utterly sublime & they are stunning,a tenfold better than the teaks in the railroad range.If only they made a BR-numbered buffet car!As for the lovely black British Railways N2 tank loco-well that too is a lovely item,great little runner & puller.Only drawback is that the locomotive is not digitally/DCC ready as far as I gather.Not VFM if you consider how much is being outlaid.It comes with a numbered certificate & very attractively decorative box......I give it an eight out of ten,with marks lost on cost & the lack of an easy to fit DCC socket... "
Fairground train set up ,4.0, 8 Jan. 2012 ," By
    
    Mrs G
  
 on 8 Jan. 2012 ", This was a present for my brother.  He said it is brilliant and has enjoyed making it. The service I received was good and although it took a little while to arrive it was worth the wait.
Good introduction to model railways ,4.0, 16 Oct. 2014 ," By
    
    S. P. Long
  
TOP 500 REVIEWERVINE VOICE on 16 Oct. 2014 "," This is a pretty decent starter set as a first step into model railways.You get a very nice detailed model of the Gloucester City and its tender, and three equally well-detailed model coaches. The locomotive is DCC-ready. (DCC is the digital control system for model railways allowing different trains to run at different speeds o the same tracks - DCC-ready indicates that the loco has a socket into which a DCC module can be slotted in future; the controller provided with the set is not DCC-compatible.)As with all Hornby starter sets, there is sufficient track included for a simple oval circuit with a single siding and one set of points. Hornby points are a bit flimsy - they don't seem to click as positively into one side or the other as I remember those on the model railways of my youth doing, but the track is fine otherwise. The fishplates are reassuringly tight, and it all slots together easily. There is also a ""trackmat"" supplied, which is a rather grand name for a large printed sheet of glossy paper with a suggested layout, to make all of which requires you to buy rather a lot of extra track and accessories - more a piece of marketing than anything really useful.The supplied controller is a simple rheostat - you can turn the speed up and down and select forward or reverse, but it's all you need to get started. (If you get keen, you can buy a DCC module for the locomotive and a DCC controller to give more control options for a more sophisticated layout.)Putting it all together took 20 minutes or so - it's reasonably obvious how you assemble it all, which is fortunate as the supplied instructions are a bit sketchy. Not really a problem, as most bits will only fit one way!Read more › "
Faller Fairground Model ,4.0, 3 April 2013 ," By
    
    MR MICHAEL PRICE
  
 on 3 April 2013 ", I have not built the model yet but look forward to doing so in due course I have several of these fairground models i enjoy building them and watching them work 
"grandchildren love it, but it does tend to go round ... ",4.0, 25 Sept. 2015 ," By
    
    polar bear
  
 on 25 Sept. 2015 "," grandchildren love it,but it does tend to go round and round a lot,doesn't run well on carpet/rug so need an area that's tiled or laminated,but well worth the money great value"
Horny R1138 GWR Frieght Train review ,4.0, 20 Nov. 2013 ," By
    
    Saltrampen
  
 on 20 Nov. 2013 "," I bought this Train set for my son and am a complete novice when it comes to Train sets.The Hornby set feels solid and attention is paid to the detail on the train. It comes with a mat, which is actually a giant printed poster. For the long term, a hard backing is needed.The track layout feels like it is the next size up from a basic layout as it already contains an extension pack.The train itself is not huge and looks silly pulling long  passenger carriages (as it would on a real train).It is quite expensive and had I not seen it at a reduced price, I probably would not have bought it (hence 4 / 5). The train can actually go quite fast in both directions. As novice I have discovered several features that must be well known to train set enthusiasts:The Trains can be tricky to get all wheels on the track. (I think there is an accessory to help with this)Big Long carriages do not like tight bends at speed (they come off).When using points to guide the train onto an inner circuit (I bought more track) you need to get jumper leads from Hornby and these are not included in Extension packs A & B.Without these the train loses power, but I think they are relatively cheap.The Track needs to be cleaned with a cloth, as any grease / dirt can stop the power to the trainTrain track has to be carefully aligned when joining one section to another, so continually putting it away and getting it out is time consuming - setting it up on a hard backing is a better solution.My child is very careful with the set and its contents, but not an ideal present for kids who leave it lying around and step on it (the carriages are expensive). I can see why people like train sets and this is a good introductory set with the plethora of accessories and trains etc from Hornby  and others we were left wanting to buy more bits and pieces (such as electric rather than manual points) after using this set. "
"Essential for the latest digital Scalextric digital base, also usable with train sets. ",4.0, 19 May 2014 ," By
    
    Christopher J Hilton
  
 on 19 May 2014 "," It's a power brick, what more can be said? This though was the cheapest source for a non to cheap necessity - why it wasn't bundled I don't know! "
A Great Model ,4.0, 6 Jun. 2011 ," By
    
    Fossil Rocker
  
 on 6 Jun. 2011 ", This is an excellent addition to any diecast collection and a must for Harry Potter fans. Looks great in it's box. 
I don't own any of Heljan's 47 but I find ... ,4.0, 27 Feb. 2015 ," By
    
    Chris
  
 on 27 Feb. 2015 "," I don't own any of Heljan's 47 but I find these Bachmanns (Diamond Jubilee is one of three recent additions) to be a huge improvement on the now ageing Lima models, but certainly worth the additional cost."
An Excellent Kit ,4.0, 18 Dec. 2014 ," By
    
    Alan. J. Reynolds
  
TOP 1000 REVIEWER on 18 Dec. 2014 "," This is an excellent kit that has been around for more than fifty years . Detail is not what would be expected these days - the heavily applied boiler bands and handrails  detract from an otherwise accurate kit . These faults can , however , be rectified with care and despite this , the basic kit has been the basis over the years for countless , motorised , working  models . Not only can the kit be used to build a GWR 'City' class loco but determined 'kitbashers' can use it as the basis for several broadly similar GWR classes from the early years of the twentieth century . Recommended for those prepared to invest the effort . "
Looks as good as a ready-to-run model. Easy click together build. ,4.0, 27 Feb. 2015 ," By
    
    T. Scharf
  
 on 27 Feb. 2015 "," Just built one of these! The body is self coloured in the right colour and the sides are lined out and lettered. The ends need to be painted black. Apart from the roof ventilators (which can be glued inside the roof) the whole kit clicks together ingeniously. It took about 10 mins to assemble this kit and the next will take more like 4 minutes. The only transfers/decals are the round LMS logos you can see in the centre.I don't agree with the assembly instructions! The body comprises sides ends and floor in a single piece. There is a rectangular cutout in the floor for the metal weight. I would fit the interior seat moulding into the body first. There is very little space between the compartment walls and the side of the coach to feed the flush-glaze window strips in. (They can't go in first) Particularly on the 2nd window strip I was concerned that I might overstretch the coach side at the end and make the plastic go milky. I was relieved when the glazing clicked into the windows. At that point, with the windows correctly in place, the corridor connections can be slid in the ends and the underframe offered up to the body (upside down with the metal weight located). The underframe latches actually click into the window strips to tie it all together. Likewise the roof clicks onto tabs on the window strips. Ingenious!Assembling and fitting the bogies was quite easy. The coupling retainers were fiddly though. Each coupling is plastic with a black metal hook. One of the hooks fell off. There is a C shape feature which clips onto a plastic bar and I needed to crunch it slightly with pliers, then adjust outwards with a screwdriver again until it clicked into place. The hook doesn't lift and drop as freely as it should now. It's on account of that and not being able to build the coach in the assembly instruction order (without feeling I was going to break something) that I've docked a star."
Brilliant idea but not as good as it seems...... ,4.0, 24 Aug. 2010 ," By
    
    cremcaramel77
  
 on 24 Aug. 2010 "," The interactive Chuggington is a brilliant idea. However I was left a little dissapointed. I was under the impression each chugger interacted with each other automatically. This is not so, you have to continually press the horn of each chugger and then they will interact and comment on what is around them i.e tunnell, chugwash etc....This is ok for older children who have grasped the idea and know what to do. But for younger children it reverts to a push along train and in effect is no different from the die-cast edition. I know as my child gets older he will develop his play but I feel a little mis-led by the concept. I have also had to return the action chugger as the paint on the wings was peeling. I have asked for a replacement however as action chugger is the main man in our household! Enjoy! "
nicely modelled and free running ,4.0, 17 Aug. 2015 ," By
    
    Timothy A. Brown
  
 on 17 Aug. 2015 "," It's an N gauge BR Mk1 Restaurant car, nicely modelled and free running, under magnification even the tiny signs on the windows and underframe are ligible."
A good safe toy for infants to play with.  Recommended. ,4.0, 15 April 2015 ," By
    
    Antony Dalton
  
 on 15 April 2015 "," A very good train set and very popular with the young infants in my family (from 2-5 years old).  The range of layouts that you can build is good and the pieces are easy to assemble even for little ones.  Both trains run well in the tracks.  The wood is a good fine grain that does not splinter easily, and is well finished, so is safe for children to handle.  It is also quite robust.  A couple of minor issues.  The track supports for the elevated section are rather too narrow and can fall over easily.  If they were a square section they would be more stable and support the elevated pieces much better.  This can be remedied by cutting duplicate supports and glueing them together to make the square cross section.  Also a couple of extra pieces to act as joining pieces would help add yet more variety to the layout designs.  One that is needed is another double hole joint and the other a double plug connector.  Nevertheless overall it is a highly recommended product that can keep youngsters safely occupied for hours.  But for these minor failings I would have given it 5 stars. "
Four Stars ,4.0, 30 Jan. 2015 ," By
    
    Mr. J. B. M. Bee
  
 on 30 Jan. 2015 ", Excellent quality and sensibly packed.
... a suppurb addion to any train set n kids love hanging mail bags on the hook that the coach ... ,4.0, 27 Nov. 2014 ," By
    
    Amazon Customer
  
 on 27 Nov. 2014 "," this is a suppurb addion to any train set n kids love hanging mail bags on the hook that the coach picks up n drops off as it goes round only problem is the the trigger mechonisums are a fiddle to fit to track n keep popping off! the instuction are naff but the drop-off works well over ""railer uncoupler"" track, "
No sleeping on this design job! ,4.0, 29 Oct. 2014 ," By
    
    Alasdair MacDonald
  
 on 29 Oct. 2014 ", Excllent model with accurate details.
Runs well... need some mock passengers in ... ,4.0, 18 July 2015 ," By
    
    Chaz51
  
 on 18 July 2015 ", Runs well...need some mock passengers in the seats!
